"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 17:56:49 GMT 2025","Tue Oct 21 17:56:49 GMT 2025","2","","","","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithValidPhone_CallsRepository","UnitTests.Services.PersonServiceTests+AddPersonContactTests.WithValidPhone_CallsRepository",""
"passed","Tue Oct 21 17:56:50 GMT 2025","Tue Oct 21 17:56:50 GMT 2025","4","","","","UnitTests.Services.UserServiceTests","CreateUser_ShouldThrowUserAlreadyExistsException_WhenUserExists","UnitTests.Services.UserServiceTests.CreateUser_ShouldThrowUserAlreadyExistsException_WhenUserExists",""
"passed","Tue Oct 21 17:56:50 GMT 2025","Tue Oct 21 17:56:50 GMT 2025","1","","","","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests","GetCharacteristicById_ShouldThrow_WhenNotFound","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests.GetCharacteristicById_ShouldThrow_WhenNotFound",""
"passed","Tue Oct 21 17:56:47 GMT 2025","Tue Oct 21 17:56:47 GMT 2025","17","","","","UnitTests.Services.PersonServiceTests+AddPersonPropertyTests","WithValidData_CallsRepository","UnitTests.Services.PersonServiceTests+AddPersonPropertyTests.WithValidData_CallsRepository",""
"passed","Tue Oct 21 17:56:50 GMT 2025","Tue Oct 21 17:56:50 GMT 2025","1","","","","UnitTests.Services.UserServiceTests","DeleteUser_ShouldCallRepository","UnitTests.Services.UserServiceTests.DeleteUser_ShouldCallRepository",""
"passed","Tue Oct 21 17:56:49 GMT 2025","Tue Oct 21 17:56:49 GMT 2025","2","","","","UnitTests.Repositories.RelationshipRepositoryInMemoryTests","GetPersonsRelationship_ShouldThrow_WhenNotFound","UnitTests.Repositories.RelationshipRepositoryInMemoryTests.GetPersonsRelationship_ShouldThrow_WhenNotFound",""
"passed","Tue Oct 21 17:56:47 GMT 2025","Tue Oct 21 17:56:47 GMT 2025","18","","","","UnitTests.Services.PersonServiceTests+ChangePersonGeneralInfoTests","ChangePersonGeneralInfo_WithValidData_CallsRepository","UnitTests.Services.PersonServiceTests+ChangePersonGeneralInfoTests.ChangePersonGeneralInfo_WithValidData_CallsRepository",""
"passed","Tue Oct 21 17:56:49 GMT 2025","Tue Oct 21 17:56:49 GMT 2025","4","","","","UnitTests.Repositories.ContactRepositoryInMemoryTests","GetPersonContacts_ShouldReturnFilteredContacts","UnitTests.Repositories.ContactRepositoryInMemoryTests.GetPersonContacts_ShouldReturnFilteredContacts",""
"passed","Tue Oct 21 17:56:50 GMT 2025","Tue Oct 21 17:56:50 GMT 2025","1","","","","UnitTests.Services.PersonServiceTests+DeletePersonDocumentTests","WithValidId_CallsRepository","UnitTests.Services.PersonServiceTests+DeletePersonDocumentTests.WithValidId_CallsRepository",""
"passed","Tue Oct 21 17:56:47 GMT 2025","Tue Oct 21 17:56:47 GMT 2025","28","","","","UnitTests.Services.PersonServiceTests+DeletePersonTests","DeletePerson_WithValidId_CallsRepository","UnitTests.Services.PersonServiceTests+DeletePersonTests.DeletePerson_WithValidId_CallsRepository",""
"passed","Tue Oct 21 17:56:49 GMT 2025","Tue Oct 21 17:56:49 GMT 2025","58","","","","UnitTests.Services.AuthServiceTests","Login_ValidCredentials_ReturnsJwtToken","UnitTests.Services.AuthServiceTests.Login_ValidCredentials_ReturnsJwtToken",""
"passed","Tue Oct 21 17:56:49 GMT 2025","Tue Oct 21 17:56:49 GMT 2025","10","","","","UnitTests.Repositories.PersonRepositoryInMemoryTests","UpdatePerson_ShouldUpdateSuccessfully","UnitTests.Repositories.PersonRepositoryInMemoryTests.UpdatePerson_ShouldUpdateSuccessfully",""
"passed","Tue Oct 21 17:56:49 GMT 2025","Tue Oct 21 17:56:49 GMT 2025","3","","","","UnitTests.Services.PersonServiceTests+AddPersonDocumentTests","WithInvalidPassport_ThrowsValidationException","UnitTests.Services.PersonServiceTests+AddPersonDocumentTests.WithInvalidPassport_ThrowsValidationException",""
"passed","Tue Oct 21 17:56:50 GMT 2025","Tue Oct 21 17:56:50 GMT 2025","2","","","","UnitTests.Repositories.PropertyRepositoryInMemoryTests","CreateProperty_ShouldThrow_WhenPersonDoesNotExist","UnitTests.Repositories.PropertyRepositoryInMemoryTests.CreateProperty_ShouldThrow_WhenPersonDoesNotExist",""
"passed","Tue Oct 21 17:56:49 GMT 2025","Tue Oct 21 17:56:50 GMT 2025","4","","","","UnitTests.Repositories.PersonRepositoryInMemoryTests","DeletePerson_ShouldDeleteSuccessfully","UnitTests.Repositories.PersonRepositoryInMemoryTests.DeletePerson_ShouldDeleteSuccessfully",""
"passed","Tue Oct 21 17:56:50 GMT 2025","Tue Oct 21 17:56:50 GMT 2025","1","","","","UnitTests.Repositories.PersonRepositoryInMemoryTests","GetPerson_ShouldThrow_WhenNotFound","UnitTests.Repositories.PersonRepositoryInMemoryTests.GetPerson_ShouldThrow_WhenNotFound",""
"passed","Tue Oct 21 17:56:49 GMT 2025","Tue Oct 21 17:56:49 GMT 2025","2","","","","UnitTests.Repositories.RelationshipRepositoryInMemoryTests","SetRelationship_ShouldThrow_WhenDeletingNonExistingRelationship","UnitTests.Repositories.RelationshipRepositoryInMemoryTests.SetRelationship_ShouldThrow_WhenDeletingNonExistingRelationship",""
"passed","Tue Oct 21 17:56:50 GMT 2025","Tue Oct 21 17:56:50 GMT 2025","11","","","","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests","DeleteCharacteristic_ShouldDeleteSuccessfully","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests.DeleteCharacteristic_ShouldDeleteSuccessfully",""
