"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 18:56:36 GMT 2025","Mon Oct 27 18:56:37 GMT 2025","14","","","","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests","GetPersonRelationships_ShouldReturnRelationships","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests.GetPersonRelationships_ShouldReturnRelationships",""
"passed","Mon Oct 27 18:55:55 GMT 2025","Mon Oct 27 18:55:55 GMT 2025","13","","","","UnitTests.Repositories.PersonRepositoryInMemoryTests","UpdatePerson_ShouldUpdateSuccessfully","UnitTests.Repositories.PersonRepositoryInMemoryTests.UpdatePerson_ShouldUpdateSuccessfully",""
"passed","Mon Oct 27 18:56:40 GMT 2025","Mon Oct 27 18:56:40 GMT 2025","19","","","","IntegrationTests.Repositories.ContactRepositoryPostgresTests","GetPersonContacts_ShouldThrowException_WhenPersonDoesNotExist","IntegrationTests.Repositories.ContactRepositoryPostgresTests.GetPersonContacts_ShouldThrowException_WhenPersonDoesNotExist",""
"passed","Mon Oct 27 18:55:56 GMT 2025","Mon Oct 27 18:55:56 GMT 2025","1","","","","UnitTests.Repositories.UserRepositoryInMemoryTests","ChangePassword_ShouldThrow_WhenUserNotFound","UnitTests.Repositories.UserRepositoryInMemoryTests.ChangePassword_ShouldThrow_WhenUserNotFound",""
"passed","Mon Oct 27 18:55:53 GMT 2025","Mon Oct 27 18:55:53 GMT 2025","36","","","","UnitTests.Services.PersonServiceTests+GetPersonRelationshipsTests","GetPersonRelationships_WhenPersonDontExists_ThrowsException","UnitTests.Services.PersonServiceTests+GetPersonRelationshipsTests.GetPersonRelationships_WhenPersonDontExists_ThrowsException",""
"passed","Mon Oct 27 18:56:36 GMT 2025","Mon Oct 27 18:56:36 GMT 2025","118","","","","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests","SetRelationship_ShouldUpdateExistingRelationship","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests.SetRelationship_ShouldUpdateExistingRelationship",""
"passed","Mon Oct 27 18:55:55 GMT 2025","Mon Oct 27 18:55:55 GMT 2025","1","","","","UnitTests.Repositories.PropertyRepositoryInMemoryTests","DeleteProperty_ShouldThrow_WhenPropertyNotFound","UnitTests.Repositories.PropertyRepositoryInMemoryTests.DeleteProperty_ShouldThrow_WhenPropertyNotFound",""
"passed","Mon Oct 27 18:56:36 GMT 2025","Mon Oct 27 18:56:36 GMT 2025","6","","","","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests","GetPersonsRelationship_ShouldThrow_WhenNotFound","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests.GetPersonsRelationship_ShouldThrow_WhenNotFound",""
"passed","Mon Oct 27 18:56:37 GMT 2025","Mon Oct 27 18:56:37 GMT 2025","5","","","","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","GetPersonsCharacteristics_ShouldReturnEmpty_WhenNoCharacteristics","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests.GetPersonsCharacteristics_ShouldReturnEmpty_WhenNoCharacteristics",""
"passed","Mon Oct 27 18:55:56 GMT 2025","Mon Oct 27 18:55:56 GMT 2025","16","","","","UnitTests.Repositories.DocumentRepositoryInMemoryTests","GetPersonDocuments_ShouldReturnEmpty_WhenNoDocuments","UnitTests.Repositories.DocumentRepositoryInMemoryTests.GetPersonDocuments_ShouldReturnEmpty_WhenNoDocuments",""
"passed","Mon Oct 27 18:56:41 GMT 2025","Mon Oct 27 18:56:41 GMT 2025","13","","","","IntegrationTests.Repositories.ContactRepositoryPostgresTests","GetPersonContacts_ShouldReturnFilteredContacts","IntegrationTests.Repositories.ContactRepositoryPostgresTests.GetPersonContacts_ShouldReturnFilteredContacts",""
"passed","Mon Oct 27 18:55:55 GMT 2025","Mon Oct 27 18:55:55 GMT 2025","0","","","","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithInvalidEmail_ThrowsValidationException(invalidEmail: ""@example.com"")","UnitTests.Services.PersonServiceTests+AddPersonContactTests.WithInvalidEmail_ThrowsValidationException(String invalidEmail)",""
